Katerangan,bobot
rt2Lag2.to.1layhid15,-1.117533e+00
rt2Lag3.to.1layhid15,9.825552e-01
rt2Lag4.to.1layhid15,1.557364e+00
rt2Lag7.to.1layhid15,1.583783e+00
rt2Lag9.to.1layhid15,1.203185e+00
rt2Lag10.to.1layhid15,-6.488983e-01
ut2Lag1.to.1layhid15,3.742119e+00
ut2Lag2.to.1layhid15,-2.337419e+00
ut2Lag3.to.1layhid15,-6.050655e-01
ut2Lag4.to.1layhid15,6.908987e+00
ut2Lag5.to.1layhid15,1.669282e-01
ut2Lag6.to.1layhid15,1.439269e+00
ut2Lag7.to.1layhid15,-1.034487e+00
ut2Lag8.to.1layhid15,1.118361e+00
ut2Lag10.to.1layhid15,-1.375607e+00
ut2Lag11.to.1layhid15,1.935926e+00
ut2Lag18.to.1layhid15,-1.987406e+00

Intercept.to.1layhid16,3.166925e+00
rt2Lag1.to.1layhid16,-6.948452e-01
rt2Lag2.to.1layhid16,-4.849079e-01
rt2Lag3.to.1layhid16,-1.674009e+00
rt2Lag4.to.1layhid16,7.945183e-01
rt2Lag7.to.1layhid16,6.706377e-01
rt2Lag9.to.1layhid16,1.299462e+00
rt2Lag10.to.1layhid16,-7.884202e+00
ut2Lag1.to.1layhid16,-3.337302e+00
ut2Lag2.to.1layhid16,5.606519e-01
ut2Lag3.to.1layhid16,1.763066e+00
ut2Lag4.to.1layhid16,-9.697567e-01
ut2Lag5.to.1layhid16,-3.123848e+00
ut2Lag6.to.1layhid16,2.123995e-01
ut2Lag7.to.1layhid16,-3.396498e+00
ut2Lag8.to.1layhid16,2.562491e+00
ut2Lag10.to.1layhid16,-3.728227e+00
ut2Lag11.to.1layhid16,-4.459991e+00
ut2Lag18.to.1layhid16,9.401058e-02

Intercept.to.1layhid17,-3.149556e-01
rt2Lag1.to.1layhid17,-1.702232e+00
rt2Lag2.to.1layhid17,-2.519046e+00
rt2Lag3.to.1layhid17,8.668191e+00
rt2Lag4.to.1layhid17,6.141012e+00
rt2Lag7.to.1layhid17,4.925363e+00
rt2Lag9.to.1layhid17,1.222299e-01
rt2Lag10.to.1layhid17,7.930208e-01
ut2Lag1.to.1layhid17,1.165884e+01
ut2Lag2.to.1layhid17,2.410347e+00
ut2Lag3.to.1layhid17,7.010097e-03
ut2Lag4.to.1layhid17,-1.171262e+00
